AZCopyAttributes,AZ Copy Attributes Menu,Bassam Kurdali Fabian Fricke Adam Wiseman,0. 4. 8,0.05 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\AZCopyAttributes,
Auto_Reload_Blender_addon,Auto Reload,Samy Tichadou (tonton) RenFinkle,2. 0. 3,0.47 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\Auto_Reload_Blender_addon,
DoraSkinWeight,Export Dora SkinWeight (.dsw),Me,0. 0,0.02 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\DoraSkinWeight,
Synchronize Workspaces,Synchronize Workspaces,Michael Soluyanov (multlabs.com),1. 8,0.05 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\Synchronize Workspaces,
ZUVTools,UV Panel,Zach Eastin,1. 1. 2,0.07 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\ZUVTools,
ZenUV,Zen UV,Valeriy Yatsenko Sergey Tyapkin Viktor [VAN] Teplov Alex Zhornyak,3. 0. 0,8.54 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\ZenUV,
batch_ops,Batch Operations™,moth3r dairin0d,0. 7. 15,3.66 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\batch_ops,
better_fbx,Better FBX Importer & Exporter,mesh online,5. 2. 6,112.71 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\better_fbx,
blender_print_to_py_console,Print to Python Console,Nikita Akimov,1. 0. 2,0.07 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\blender_print_to_py_console,
idmapper280,IDMapper,Michel Anders (varkenvarken),0. 0. 202106170925,0.25 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\idmapper280,
isolate_select,Isolate Select,Bookyakuno,1. 6. 1,0.02 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\isolate_select,
lazy_weight_tool,Lazy Weight Tool,Bookyakuno,1. 9. 6,0.69 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\lazy_weight_tool,
mesh_merge_tool,Merge Tool,Andreas Strømberg Chris Kohl,1. 3. 0,0.04 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\mesh_merge_tool,
pie_menu_shader_editor,Pie Menu Shader Editor,Fluffy,1. 1. 0,0.12 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\pie_menu_shader_editor,
quad_remesher_1_2,Quad Remesher 1.2 Bridge,Maxime,1. 2. 1).    # see __QR_plugin_,0.07 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\quad_remesher_1_2,
random_flow,Random Flow,Ian Lloyd Dela Cruz,1. 6. 0,0.98 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\random_flow,
rigify_animbox,Rigify Animbox,valangdance,0. 2. 9,3.13 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\rigify_animbox,
surface_heat_diffuse_skinning,Surface Heat Diffuse Skinning,mesh online,3. 4. 2,7.2 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\surface_heat_diffuse_skinning,
usmar_uv,Usmar UV,Igor Ivanov,0. 3. 0,1.3 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\usmar_uv,
uv_toolkit,UV Toolkit,Alexander Belyakov,2. 0. 9,3.66 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\uv_toolkit,
uvpackmaster3,UVPackmaster3,glukoz,3. 1. 2,148.86 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\uvpackmaster3,
voxel_skinning,Voxel Heat Diffuse Skinning,mesh online,3. 4. 2,19.68 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\voxel_skinning,
vps_smoothing,Volume Preserving Smoothing,Bartosz Styperek,2. 5. 3,0.23 MB,C:\Users\Daichi\AppData\Roaming\Blender Foundation\Blender\3.5\scripts\addons\vps_smoothing,
